date,link,title
2016-01-05 00:09:00,cz/clanky/projev-prezidenta-republiky-na-tiskove-konferenci-pri-oficialni-navsteve-bulharskeho-prezidenta-v-cr-812555.htm,Projev prezidenta republiky na tiskové konferenci při oficiální návštěvě bulharského prezidenta v ČR
2016-01-01 00:09:00,cz/clanky/projev-prezidenta-republiky-pri-zahajeni-skolniho-roku-973470.htm,Projev prezidenta republiky při zahájení školního roku
2016-01-25 00:08:00,cz/clanky/projev-prezidenta-republiky-pri-zahajeni-výstavy-„zeme-zivitelka-2016“.htm,Projev prezidenta republiky při zahájení výstavy „Země živitelka 2016“
2016-01-24 00:08:00,cz/clanky/projev-prezidenta-republiky-pri-jmenovani-soudcu-obecných-soudu-cr.htm,Projev prezidenta republiky při jmenování soudců obecných soudů ČR
2016-01-24 00:08:00,cz/clanky/projev-prezidenta-republiky-pri-setkani-s-vedoucimi-zastupitelských-uradu-cr-v-zahranici.htm,Projev prezidenta republiky při setkání s vedoucími zastupitelských úřadů ČR v zahraničí
2016-01-04 00:08:00,cz/clanky/projev-prezidenta-republiky-pri-otevreni-ceskeho-olympijskeho-domu-v-riu-934707.htm,Projev prezidenta republiky při otevření Českého olympijského domu v Riu
2016-01-12 00:07:00,cz/clanky/projev-prezidenta-republiky-pri-prijeti-zastupcu-odboroveho-svazu-pracovniku-hornictvi-geologie-a-naftoveho-prumyslu-552277.htm,"Projev prezidenta republiky při přijetí zástupců Odborového svazu pracovníků hornictví, geologie a naftového průmyslu"
2016-01-12 00:07:00,cz/clanky/projev-prezidenta-republiky-pri-nominacnim-veceru-ceskeho-olympijskeho-výboru-358956.htm,Projev prezidenta republiky při nominačním večeru Českého olympijského výboru
2016-01-01 00:07:00,cz/clanky/projev-prezidenta-republiky-pri-tiskove-konferenci-k-ukonceni-navstevy-kraje-vysocina-500748.htm,Projev prezidenta republiky při tiskové konferenci k ukončení návštěvy Kraje Vysočina
2016-01-29 00:06:00,cz/clanky/projev-prezidenta-republiky-pri-setkani-se-zastupiteli-kraje-vysocina-949212.htm,Projev prezidenta republiky při setkání se zastupiteli Kraje Vysočina
2016-01-23 00:06:00,cz/clanky/projev-prezidenta-republiky-pri-slavnostnim-veceru-k-zahajeni-provozu-linky-sanghaj-praha.htm,Projev prezidenta republiky při slavnostním večeru k zahájení provozu linky Šanghaj-Praha
2016-01-22 00:06:00,cz/clanky/projev-prezidenta-republiky-pri-prijeti-ucastniku-fotbaloveho-me-1976-176056.htm,Projev prezidenta republiky při přijetí účastníků fotbalového ME 1976
2016-01-21 00:06:00,cz/clanky/projev-prezidenta-republiky-na-x-sjezdu-ceskeho-svazu-bojovniku-za-svobodu.htm,Projev prezidenta republiky na X. sjezdu Českého svazu bojovníků za svobodu
2016-01-16 00:06:00,cz/clanky/projev-prezidenta-republiky-pri-„czech-top-100“-289929.htm,Projev prezidenta republiky při „CZECH TOP 100“
2016-01-15 00:06:00,cz/clanky/projev-prezidenta-republiky-pri-zahajeni-festivalu-exportu-cz-2016-935523.htm,Projev prezidenta republiky při zahájení Festivalu Exportu CZ 2016
2016-01-11 00:06:00,cz/clanky/projev-prezidenta-republiky-pri-pietnim-aktu-v-lidicich-533502.htm,Projev prezidenta republiky při pietním aktu v Lidicích
2016-01-03 00:06:00,cz/clanky/projev-prezidenta-republiky-pri-tiskove-konferenci-k-ukonceni-navstevy-jihoceskeho-kraje-201438.htm,Projev prezidenta republiky při tiskové konferenci k ukončení návštěvy Jihočeského kraje
2016-01-01 00:06:00,cz/clanky/projev-prezidenta-republiky-pri-setkani-se-zastupiteli-jihoceskeho-kraje-72496.htm,Projev prezidenta republiky při setkání se zastupiteli Jihočeského kraje
2016-01-25 00:05:00,cz/clanky/projev-prezidenta-republiky-pri-jmenovani-noveho-guvernera-cnb-899799.htm,Projev prezidenta republiky při jmenování nového guvernéra ČNB
2016-01-25 00:05:00,cz/clanky/projev-prezidenta-republiky-na-200-zofinskem-foru.htm,Projev prezidenta republiky na 200. Žofínském fóru
2016-01-20 00:05:00,cz/clanky/projev-prezidenta-republiky-pri-sazeni-pamatneho-stromu-v-cechach-pod-kosirem-606708.htm,Projev prezidenta republiky při sázení památného stromu v Čechách pod Kosířem
2016-01-20 00:05:00,cz/clanky/projev-prezidenta-republiky-pri-tiskove-konferenci-k-ukonceni-navstevy-olomouckeho-kraje-372771.htm,Projev prezidenta republiky při tiskové konferenci k ukončení návštěvy Olomouckého kraje
2016-01-18 00:05:00,cz/clanky/projev-prezidenta-republiky-pri-setkani-s-predstaviteli-olomouckeho-kraje-a-vybranými-starosty-566204.htm,Projev prezidenta republiky při setkání s představiteli Olomouckého kraje a vybranými starosty
